
x=-3.795044  erro_sin=6.346035e-13
x=-3.782478  erro_sin=4.930500e-13
x=-3.769911  erro_sin=3.812506e-13
x=-3.757345  erro_sin=2.930989e-13
x=-3.744778  erro_sin=2.241540e-13
x=-3.732212  erro_sin=1.705303e-13
x=-3.719646  erro_sin=1.290079e-13
x=-3.707079  erro_sin=9.681145e-14
x=-3.694513  erro_sin=7.238654e-14
x=-3.681947  erro_sin=5.362377e-14
x=-3.669380  erro_sin=3.941292e-14
x=-3.656814  erro_sin=2.881029e-14
x=-3.644247  erro_sin=2.092770e-14
x=-3.631681  erro_sin=1.493250e-14
x=-3.619115  erro_sin=1.065814e-14
x=-3.606548  erro_sin=7.549517e-15
x=-3.593982  erro_sin=5.218048e-15
x=-3.581416  erro_sin=3.552714e-15
x=-3.568849  erro_sin=2.442491e-15
x=-3.556283  erro_sin=1.609823e-15
x=-3.543717  erro_sin=9.992007e-16
x=-3.531150  erro_sin=6.661338e-16
x=-3.518584  erro_sin=3.885781e-16
x=-3.506017  erro_sin=1.665335e-16
x=-3.493451  erro_sin=1.110223e-16
x=-3.480885  erro_sin=0.000000e+00
x=-3.468318  erro_sin=5.551115e-17
x=-3.455752  erro_sin=5.551115e-17
x=-3.443186  erro_sin=1.110223e-16
x=-3.430619  erro_sin=1.110223e-16
x=-3.418053  erro_sin=1.110223e-16
x=-3.405486  erro_sin=1.110223e-16
x=-3.392920  erro_sin=1.110223e-16
x=-3.380354  erro_sin=1.110223e-16
x=-3.367787  erro_sin=1.110223e-16
x=-3.355221  erro_sin=8.326673e-17
x=-3.342655  erro_sin=1.110223e-16
x=-3.330088  erro_sin=1.110223e-16
x=-3.317522  erro_sin=1.110223e-16
x=-3.304955  erro_sin=1.387779e-16
x=-3.292389  erro_sin=1.110223e-16
x=-3.279823  erro_sin=1.110223e-16
x=-3.267256  erro_sin=1.110223e-16
x=-3.254690  erro_sin=1.249001e-16
x=-3.242124  erro_sin=1.249001e-16
x=-3.229557  erro_sin=1.249001e-16
x=-3.216991  erro_sin=1.249001e-16
x=-3.204425  erro_sin=1.249001e-16
x=-3.191858  erro_sin=1.249001e-16
x=-3.179292  erro_sin=1.179612e-16
x=-3.166725  erro_sin=1.214306e-16
x=-3.154159  erro_sin=1.214306e-16
x=-3.141593  erro_sin=1.224647e-16
x=-3.129026  erro_sin=1.231654e-16
x=-3.116460  erro_sin=1.249001e-16
x=-3.103894  erro_sin=1.179612e-16
x=-3.091327  erro_sin=1.179612e-16
x=-3.078761  erro_sin=1.249001e-16
x=-3.066194  erro_sin=1.110223e-16
x=-3.053628  erro_sin=1.110223e-16
x=-3.041062  erro_sin=1.110223e-16
x=-3.028495  erro_sin=1.110223e-16
x=-3.015929  erro_sin=1.110223e-16
x=-3.003363  erro_sin=1.110223e-16
x=-2.990796  erro_sin=1.110223e-16
x=-2.978230  erro_sin=1.110223e-16
x=-2.965663  erro_sin=1.387779e-16
x=-2.953097  erro_sin=1.110223e-16
x=-2.940531  erro_sin=1.387779e-16
x=-2.927964  erro_sin=1.387779e-16
x=-2.915398  erro_sin=1.110223e-16
x=-2.902832  erro_sin=1.387779e-16
x=-2.890265  erro_sin=1.110223e-16
x=-2.877699  erro_sin=1.110223e-16
x=-2.865133  erro_sin=1.665335e-16
x=-2.852566  erro_sin=1.665335e-16
x=-2.840000  erro_sin=1.665335e-16
x=-2.827433  erro_sin=2.220446e-16
x=-2.814867  erro_sin=2.220446e-16
x=-2.802301  erro_sin=2.220446e-16
x=-2.789734  erro_sin=3.330669e-16
x=-2.777168  erro_sin=4.440892e-16
x=-2.764602  erro_sin=6.106227e-16
x=-2.752035  erro_sin=8.881784e-16
x=-2.739469  erro_sin=1.276756e-15
x=-2.726902  erro_sin=1.831868e-15
x=-2.714336  erro_sin=2.664535e-15
x=-2.701770  erro_sin=3.830269e-15
x=-2.689203  erro_sin=5.440093e-15
x=-2.676637  erro_sin=7.771561e-15
x=-2.664071  erro_sin=1.088019e-14
x=-2.651504  erro_sin=1.521006e-14
x=-2.638938  erro_sin=2.109424e-14
x=-2.626371  erro_sin=2.903233e-14
x=-2.613805  erro_sin=3.963496e-14
x=-2.601239  erro_sin=5.384582e-14
x=-2.588672  erro_sin=7.249756e-14
x=-2.576106  erro_sin=9.714451e-14
x=-2.563540  erro_sin=1.290079e-13
x=-2.550973  erro_sin=1.707523e-13
x=-2.538407  erro_sin=2.243761e-13
x=-2.525840  erro_sin=2.933209e-13
x=-2.513274  erro_sin=3.814726e-13
x=-2.500708  erro_sin=4.932721e-13
x=-2.488141  erro_sin=6.349365e-13
x=-2.475575  erro_sin=8.132384e-13
x=-2.463009  erro_sin=1.036726e-12
x=-2.450442  erro_sin=1.315836e-12
x=-2.437876  erro_sin=1.663003e-12
x=-2.425310  erro_sin=2.093103e-12
x=-2.412743  erro_sin=2.623790e-12
x=-2.400177  erro_sin=3.276379e-12
x=-2.387610  erro_sin=4.076073e-12
x=-2.375044  erro_sin=5.052736e-12
x=-2.362478  erro_sin=6.241563e-12
x=-2.349911  erro_sin=3.473888e-13
x=-2.337345  erro_sin=2.767786e-13
x=-2.324779  erro_sin=2.194911e-13
x=-2.312212  erro_sin=1.735279e-13
x=-2.299646  erro_sin=1.366685e-13
x=-2.287079  erro_sin=1.071365e-13
x=-2.274513  erro_sin=8.359979e-14
x=-2.261947  erro_sin=6.494805e-14
x=-2.249380  erro_sin=5.018208e-14
x=-2.236814  erro_sin=3.863576e-14
x=-2.224248  erro_sin=2.964295e-14
x=-2.211681  erro_sin=2.253753e-14
x=-2.199115  erro_sin=1.709743e-14
x=-2.186548  erro_sin=1.287859e-14
x=-2.173982  erro_sin=9.658940e-15
x=-2.161416  erro_sin=7.105427e-15
x=-2.148849  erro_sin=5.218048e-15
x=-2.136283  erro_sin=3.885781e-15
x=-2.123717  erro_sin=2.886580e-15
x=-2.111150  erro_sin=1.998401e-15
x=-2.098584  erro_sin=1.443290e-15
x=-2.086018  erro_sin=1.110223e-15
x=-2.073451  erro_sin=7.771561e-16
x=-2.060885  erro_sin=5.551115e-16
x=-2.048318  erro_sin=4.440892e-16
x=-2.035752  erro_sin=2.220446e-16
x=-2.023186  erro_sin=2.220446e-16
x=-2.010619  erro_sin=1.110223e-16
x=-1.998053  erro_sin=1.110223e-16
x=-1.985487  erro_sin=0.000000e+00
x=-1.972920  erro_sin=0.000000e+00
x=-1.960354  erro_sin=0.000000e+00
x=-1.947787  erro_sin=1.110223e-16
